label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
PAQR5,-0.012035191,0.951084956,0.992112919,5.974127783,-0.061344451,-5.751554018,0.012035191,0.021780688,0.003438895
PAQR6,0.17229436,0.289453238,0.787561391,6.491552611,1.059324836,-5.403260048,0.17229436,0.538421588,0.103715583
PAQR7,0.063241865,0.745576275,0.954984493,5.958532287,0.324478348,-5.711675434,0.063241865,0.12750792,0.02000368
PAQR8,0.327345577,0.064271545,0.540045594,5.844365104,1.850302467,-4.275440966,0.327345577,1.191981257,0.267569573
PAQR9,0.080000841,0.620751619,0.915374534,5.709919889,0.494786213,-5.816653234,0.080000841,0.207082139,0.038401174
PARD3,0.328094265,0.061728125,0.534796331,5.819158439,1.868254819,-4.249644192,0.328094265,1.209516911,0.271811581
PARD3B,-0.136971734,0.486130154,0.872258837,6.019359353,-0.696478388,-5.532568022,0.136971734,0.313247439,0.059354622
PARD6A,0.125703909,0.430733223,0.845220046,5.690433141,0.787939282,-5.653601739,0.125703909,0.36579163,0.073030211
PARD6B,-0.534203791,0.003296774,0.204970024,6.174659505,-2.938657537,-1.875475653,0.534203791,2.481910831,0.688309647
PARD6G,0.064857917,0.686243867,0.937521526,5.704534283,0.403958272,-5.861112689,0.064857917,0.163521524,0.028018752
PARG,-0.273621531,0.133299848,0.666373349,5.855791868,-1.501221977,-4.790484825,0.273621531,0.875170346,0.176282381
PARK7,-0.070137621,0.571407562,0.904408398,6.802091457,-0.565980727,-6.028656213,0.070137621,0.243054016,0.043635414
PARL,-0.151270292,0.406584554,0.843811852,5.828079819,-0.829920926,-5.505384221,0.151270292,0.390849125,0.073754379
PARM1,0.050266278,0.795310188,0.963639105,5.934781898,0.259421683,-5.734081847,0.050266278,0.099463454,0.016085584
PARN,-0.248826678,0.194322329,0.718676418,6.178038032,-1.297902833,-5.011513437,0.248826678,0.711477292,0.143466605
PARP1,0.010889188,0.942840761,0.991996452,6.572934019,0.071699964,-5.98672048,0.010889188,0.02556165,0.003489881
PARP10,-0.269574126,0.162576644,0.701905682,6.11794898,-1.396463434,-4.88621762,0.269574126,0.788941846,0.153721242
PARP11,-0.229295984,0.20233437,0.723807512,5.822447951,-1.274933491,-5.087999768,0.229295984,0.693930339,0.140376914
PARP12,0.007686409,0.967268371,0.993219603,5.858784375,0.041034582,-5.794395669,0.007686409,0.014453013,0.002954717
PARP14,-0.249425076,0.198839309,0.722232939,6.111626304,-1.284870001,-5.01723775,0.249425076,0.701497755,0.141322708
PARP15,0.24221384,0.144334137,0.684716455,5.726414061,1.459845809,-4.918370768,0.24221384,0.840630939,0.164489235
PARP16,0.281737853,0.137632551,0.672977832,5.982290566,1.484671504,-4.783600258,0.281737853,0.861278839,0.171999241
PARP2,0.222828067,0.250698865,0.760360945,6.041309117,1.14865712,-5.167484103,0.222828067,0.600847633,0.118980198
PARP3,0.157780186,0.413458827,0.843811852,5.944794142,0.817823839,-5.46597993,0.157780186,0.383567732,0.073754379
PARP4,0.066799419,0.725220015,0.94756943,6.235444968,0.35149154,-5.726000557,0.066799419,0.139530219,0.023388959
